delivery_date,DK1_Price_MW/h,DK2_Price_MW/h,DK1_Demand_MW,DK2_Demand_MW,DK2_Solar_MW,DK2_Wind_MW,DK1_Solar_MW,DK1_Wind_MW
2024-01-01 00:00:00+00:00,11.12,17.82,2242.0,1463.0,1.18,582.0,0.0,2350.74
2024-01-01 01:00:00+00:00,11.12,16.45,2210.0,1428.0,1.18,694.0,0.0,2238.95
2024-01-01 02:00:00+00:00,11.12,12.42,2271.0,1389.0,1.18,717.0,0.0,2207.27
2024-01-01 03:00:00+00:00,11.12,14.56,2213.0,1351.0,1.18,827.0,0.0,1722.58
2024-01-01 04:00:00+00:00,11.12,19.82,2201.0,1337.0,1.18,802.0,0.0,1721.28
2024-01-01 05:00:00+00:00,11.12,24.45,2218.0,1334.0,1.18,665.0,0.0,1748.96
2024-01-01 06:00:00+00:00,11.28,26.05,2263.0,1371.0,1.08,625.0,0.0,1860.01
2024-01-01 07:00:00+00:00,27.79,27.79,2356.0,1416.0,0.05,565.0,0.0,1776.9
2024-01-01 08:00:00+00:00,33.42,33.41,2443.0,1488.0,10.17,532.0,6.17,2196.79
2024-01-01 09:00:00+00:00,35.78,35.78,2496.0,1576.0,30.53,549.0,26.03,2137.55
2024-01-01 10:00:00+00:00,36.92,36.92,2554.0,1635.0,42.98,557.0,40.61,2023.64
2024-01-01 11:00:00+00:00,37.54,37.53,2584.0,1682.0,48.54,517.0,58.19,1851.6
2024-01-01 12:00:00+00:00,38.16,38.15,2657.0,1700.0,41.06,473.0,56.02,1751.21
2024-01-01 13:00:00+00:00,47.82,37.64,2635.0,1715.0,21.13,265.0,29.0,1736.64
2024-01-01 14:00:00+00:00,50.05,40.17,2622.0,1738.0,4.18,313.0,5.7,1777.8
2024-01-01 15:00:00+00:00,50.41,40.65,2560.0,1822.0,1.22,377.0,0.0,1922.22
2024-01-01 16:00:00+00:00,51.08,41.45,2687.0,1874.0,1.26,309.0,0.0,1968.59
2024-01-01 17:00:00+00:00,50.63,41.33,2637.0,1839.0,1.26,309.0,0.0,2045.19
2024-01-01 18:00:00+00:00,69.36,41.15,2505.0,1724.0,1.26,426.0,0.0,2108.17
2024-01-01 19:00:00+00:00,69.16,55.3,2443.0,1653.0,1.26,447.0,0.0,2176.0
2024-01-01 20:00:00+00:00,68.66,56.94,2445.0,1589.0,1.26,425.0,0.0,2323.19
2024-01-01 21:00:00+00:00,64.93,56.36,2377.0,1512.0,0.52,379.0,0.0,2405.75
2024-01-01 22:00:00+00:00,64.68,39.14,2314.0,1453.0,0.0,458.0,0.0,2414.03
2024-01-01 23:00:00+00:00,55.31,48.12,2389.0,1449.0,0.42,466.0,0.0,2327.69
2024-01-02 00:00:00+00:00,50.7,46.41,2379.0,1447.0,0.94,400.0,0.0,2197.24
2024-01-02 01:00:00+00:00,40.87,40.33,2377.0,1422.0,0.94,332.0,0.0,2129.22
2024-01-02 02:00:00+00:00,37.49,37.48,2445.0,1384.0,1.04,386.0,0.0,2126.39
2024-01-02 03:00:00+00:00,40.35,40.34,2466.0,1364.0,1.04,291.0,0.0,2298.03
2024-01-02 04:00:00+00:00,67.88,67.88,2486.0,1429.0,0.73,303.0,0.0,2631.03
2024-01-02 05:00:00+00:00,76.14,76.15,2702.0,1602.0,0.0,248.0,0.0,3028.91
2024-01-02 06:00:00+00:00,79.07,79.07,2870.0,1786.0,0.0,352.0,0.0,3247.75
2024-01-02 07:00:00+00:00,80.45,80.46,3003.0,1922.0,0.09,433.0,0.0,3511.86
2024-01-02 08:00:00+00:00,78.41,78.41,3073.0,1998.0,10.78,475.0,9.74,3792.44
2024-01-02 09:00:00+00:00,75.14,75.14,3113.0,2047.0,33.92,616.0,41.22,4087.1
2024-01-02 10:00:00+00:00,73.32,73.32,3160.0,2043.0,47.32,813.0,64.54,4202.12
2024-01-02 11:00:00+00:00,72.77,72.76,3118.0,2042.0,60.21,963.0,71.55,4288.1
2024-01-02 12:00:00+00:00,72.31,72.3,3143.0,2053.0,44.97,1129.0,52.18,4365.53
2024-01-02 13:00:00+00:00,73.32,73.32,3132.0,2045.0,18.71,1297.0,27.12,4491.43
2024-01-02 14:00:00+00:00,78.0,78.0,3174.0,2052.0,4.13,1321.0,5.24,4605.87
2024-01-02 15:00:00+00:00,81.94,81.94,3266.0,2124.0,1.07,1336.0,0.0,4744.32
2024-01-02 16:00:00+00:00,82.56,82.56,3428.0,2215.0,1.0,1370.0,0.0,4784.68
2024-01-02 17:00:00+00:00,82.96,82.95,3312.0,2157.0,0.4,1396.0,0.0,4801.06
2024-01-02 18:00:00+00:00,83.63,83.63,3392.0,2014.0,0.2,1401.0,0.0,4802.69
2024-01-02 19:00:00+00:00,79.91,79.9,3169.0,1906.0,0.3,1399.0,0.0,4783.94
2024-01-02 20:00:00+00:00,79.29,54.03,3206.0,1828.0,0.3,1408.0,0.0,4712.45
2024-01-02 21:00:00+00:00,77.38,47.33,3028.0,1730.0,0.0,1416.0,0.0,4732.24
2024-01-02 22:00:00+00:00,75.7,44.3,2939.0,1662.0,0.3,1422.0,0.0,4681.86
2024-01-02 23:00:00+00:00,16.64,18.57,3078.0,1682.0,0.98,1419.0,0.0,4642.22
2024-01-03 00:00:00+00:00,8.51,18.43,3138.0,1705.0,1.19,1414.0,0.0,4561.31
