hour,demandDk1,windDk1,pvDk1,demandDk2,windDk2,pvDk2,demandIF,windIF,pvIF,demandUK,windUK,pvUK
1,2242.0,1381.32,5.52,1463.0,420.67,0.13,85.1,25.67,0.0,50059.41,20395.36,0.0
2,2210.0,1379.35,5.45,1428.0,406.04,0.13,82.46,27.59,0.0,46046.4,15308.9,0.0
3,2271.0,1364.3,5.52,1389.0,401.91,0.13,84.46,21.48,0.0,49401.97,17626.49,0.0
4,2213.0,1333.58,5.58,1351.0,387.67,0.13,85.67,20.41,0.0,49923.23,22100.38,0.0
5,2201.0,1335.12,5.6,1337.0,386.63,0.5,89.68,24.65,0.0,49671.71,14281.77,0.0
6,2218.0,1354.42,5.75,1334.0,376.3,11.46,86.53,25.59,0.0,46840.57,23911.0,0.0
7,2263.0,1404.68,6.82,1371.0,369.22,48.87,83.35,26.46,0.0,49525.41,22643.23,0.0
8,2356.0,1447.28,29.72,1416.0,359.54,126.3,87.85,25.16,0.0,46641.64,20014.23,1634.82
9,2443.0,1462.68,152.18,1488.0,353.07,239.57,90.3,28.85,0.0,48750.58,18881.26,3059.93
10,2496.0,1471.2,392.45,1576.0,338.17,349.98,81.93,28.06,0.0,46027.8,19124.98,4327.52
11,2554.0,1516.5,660.52,1635.0,322.39,446.83,86.84,28.32,0.0,49408.25,25474.11,5401.87
12,2584.0,1598.8,825.9,1682.0,311.67,512.5,83.94,23.41,0.0,50137.25,22271.15,6524.44
13,2657.0,1649.3,861.6,1700.0,305.65,551.2,85.04,26.64,0.0,46671.99,17703.31,6536.39
14,2635.0,1660.28,839.78,1715.0,299.63,556.48,85.47,26.77,0.0,46031.71,17336.15,6165.53
15,2622.0,1685.88,739.35,1738.0,303.07,540.78,85.17,21.23,0.0,45730.56,20764.68,5816.1
16,2560.0,1714.08,617.15,1822.0,304.54,504.2,83.8,23.07,0.0,48475.3,19383.33,4343.02
17,2687.0,1782.85,445.82,1874.0,332.8,435.5,85.39,31.24,0.0,46585.99,26543.15,2917.61
18,2637.0,1775.2,238.6,1839.0,421.54,341.07,88.41,21.27,0.0,46368.48,19311.15,1737.64
19,2505.0,1752.35,78.5,1724.0,477.07,211.52,84.98,28.77,0.0,47073.82,20658.61,0.0
20,2443.0,1774.1,14.58,1653.0,453.74,95.76,87.58,29.57,0.0,45793.12,20485.47,0.0
21,2445.0,1811.88,5.55,1589.0,441.52,30.35,83.41,27.76,0.0,47075.72,19084.68,0.0
22,2377.0,1821.32,5.38,1512.0,433.72,4.61,90.22,27.34,0.0,46610.02,21402.54,0.0
23,2314.0,1779.88,5.4,1453.0,428.57,0.13,86.33,31.76,0.0,49207.45,24990.96,0.0
24,2389.0,1715.58,5.3,1449.0,426.87,0.13,90.28,25.99,0.0,46543.6,16433.46,0.0
25,2379.0,1588.39,5.41,1447.0,404.04,0.11,86.23,27.34,0.0,46500.2,23470.91,0.0
26,2377.0,1556.83,5.39,1422.0,385.54,0.11,83.26,21.11,0.0,49891.74,21076.95,0.0
27,2445.0,1502.29,5.57,1384.0,372.89,0.11,86.46,22.72,0.0,47731.2,15826.93,0.0
28,2466.0,1406.29,5.61,1364.0,339.83,0.11,88.69,33.56,0.0,49771.38,16388.04,0.0
29,2486.0,1378.37,5.61,1429.0,330.04,0.48,88.86,35.92,0.0,48890.81,14681.98,0.0
30,2702.0,1425.17,5.68,1602.0,337.41,12.65,83.45,27.86,0.0,50320.61,16890.71,0.0
31,2870.0,1413.76,6.93,1786.0,350.02,51.85,83.54,27.22,0.0,49643.3,16711.6,0.0
32,3003.0,1382.0,28.59,1922.0,353.57,137.26,89.14,25.58,0.0,50037.33,21617.0,1844.82
33,3073.0,1328.37,148.24,1998.0,339.93,259.33,82.49,25.01,0.0,46954.98,22125.79,3212.85
34,3113.0,1288.66,392.02,2047.0,321.35,377.89,88.57,32.39,0.0,47223.63,18517.8,4648.15
35,3160.0,1268.5,681.85,2043.0,303.09,462.91,84.18,25.63,0.0,46351.41,18453.96,6019.39
36,3118.0,1268.82,868.52,2042.0,293.37,515.24,82.04,36.17,0.0,45773.29,19425.05,5867.97
37,3143.0,1285.05,913.95,2053.0,283.46,550.8,85.7,26.63,0.0,45648.88,22078.35,6116.74
38,3132.0,1304.9,876.08,2045.0,305.67,564.52,87.12,24.47,0.0,48974.67,14779.43,6284.55
39,3174.0,1298.38,750.32,2052.0,297.91,546.78,85.98,30.19,0.0,49948.87,23397.58,5769.31
40,3266.0,1293.08,618.17,2124.0,310.93,513.3,84.31,19.29,0.0,47176.95,22238.91,4394.13
41,3428.0,1273.25,427.7,2215.0,351.91,448.78,90.14,20.91,0.0,48332.4,20328.28,3206.42
42,3312.0,1242.92,240.02,2157.0,395.65,356.48,81.82,26.75,0.0,46540.89,16765.08,1828.36
43,3392.0,1193.18,78.45,2014.0,438.67,224.48,83.14,26.52,0.0,46915.95,24319.49,0.0
44,3169.0,1211.68,15.25,1906.0,431.67,100.59,82.37,22.86,0.0,48468.7,18060.68,0.0
45,3206.0,1271.28,5.9,1828.0,422.35,32.02,87.0,24.6,0.0,49125.19,23547.22,0.0
46,3028.0,1342.68,5.72,1730.0,432.13,4.87,87.85,28.11,0.0,45982.91,22298.4,0.0
47,2939.0,1376.52,5.6,1662.0,440.41,0.13,87.87,30.62,0.0,50006.52,21022.39,0.0
48,3078.0,1376.75,5.6,1682.0,444.35,0.13,89.48,24.11,0.0,49456.96,19090.84,0.0
