hour,demandDk1,windDk1,pvDk1,demandDk2,windDk2,pvDk2,demandIF,windIF,pvIF,demandUK,windUK,pvUK
1,2242.0,1627.22,5.96,1463.0,853.63,0.07,85.44,15.81,0.0,48974.65,14149.74,0.0
2,2210.0,1624.85,5.93,1428.0,846.1,0.1,86.23,20.39,0.0,47502.93,15399.55,0.0
3,2271.0,1596.8,5.96,1389.0,849.4,0.1,88.03,19.84,0.0,48406.54,13990.4,0.0
4,2213.0,1573.59,5.93,1351.0,859.63,0.1,82.94,13.91,0.0,48409.3,10371.12,0.0
5,2201.0,1577.43,6.04,1337.0,870.4,0.1,85.08,19.79,0.0,46042.54,11491.08,0.0
6,2218.0,1603.89,13.63,1334.0,894.5,0.1,83.18,13.66,0.0,45646.87,12334.03,0.0
7,2263.0,1609.15,62.28,1371.0,911.57,0.07,82.21,23.01,0.0,47329.2,9595.77,0.0
8,2356.0,1580.83,215.63,1416.0,925.33,2.07,90.36,20.6,0.0,48436.38,13007.19,2624.48
9,2443.0,1570.39,472.7,1488.0,931.67,16.3,82.04,15.65,0.0,49968.44,12509.06,4326.05
10,2496.0,1568.0,747.52,1576.0,928.07,53.93,86.02,18.64,0.0,47265.19,10550.93,6372.49
11,2554.0,1587.28,975.2,1635.0,928.33,101.9,89.77,17.33,0.0,45797.32,11616.11,8252.76
12,2584.0,1600.04,1074.35,1682.0,929.97,134.57,90.15,19.64,0.0,49148.55,9563.29,8715.57
13,2657.0,1648.7,1110.59,1700.0,912.23,149.13,85.58,17.85,0.0,49417.67,13808.69,8584.84
14,2635.0,1676.28,1103.35,1715.0,899.63,138.03,90.24,15.25,0.0,48774.46,14632.5,8719.65
15,2622.0,1691.2,1078.57,1738.0,865.93,108.13,90.04,19.9,0.0,45774.51,12793.22,8591.5
16,2560.0,1722.87,982.15,1822.0,852.77,61.2,90.06,22.36,0.0,50157.33,16613.37,5978.4
17,2687.0,1803.72,830.41,1874.0,847.77,18.1,83.31,19.89,0.0,46353.1,9943.04,4182.91
18,2637.0,1860.41,599.67,1839.0,866.33,1.37,84.83,14.75,0.0,49796.37,16477.73,2155.83
19,2505.0,1873.67,353.65,1724.0,894.2,0.07,87.63,18.92,0.0,48426.87,10208.05,0.0
20,2443.0,1839.83,150.02,1653.0,906.63,0.1,84.89,15.02,0.0,46953.31,16070.63,0.0
21,2445.0,1815.96,43.96,1589.0,901.17,0.07,86.95,25.5,0.0,46289.72,9729.43,0.0
22,2377.0,1798.15,8.93,1512.0,900.67,0.07,83.59,15.22,0.0,45820.1,10201.26,0.0
23,2314.0,1789.7,5.15,1453.0,913.53,0.07,89.64,13.87,0.0,48432.9,13518.26,0.0
24,2389.0,1805.11,5.17,1449.0,915.67,0.07,85.16,18.31,0.0,45757.69,15996.79,0.0
25,2379.0,1844.8,5.17,1447.0,909.8,0.13,86.62,16.87,0.0,45803.56,9915.28,0.0
26,2377.0,1815.09,5.17,1422.0,916.97,0.13,86.76,25.23,0.0,45803.6,13538.19,0.0
27,2445.0,1785.13,5.31,1384.0,918.37,0.13,82.76,20.48,0.0,47702.62,12251.36,0.0
28,2466.0,1755.74,5.2,1364.0,907.1,0.13,89.95,18.78,0.0,45884.03,12747.2,0.0
29,2486.0,1744.65,5.22,1429.0,921.47,0.13,84.75,13.17,0.0,46223.84,12619.08,0.0
30,2702.0,1750.89,12.22,1602.0,911.57,0.1,83.41,12.09,0.0,47337.7,12085.27,0.0
31,2870.0,1758.39,58.11,1786.0,904.87,0.1,84.91,16.42,0.0,47582.81,14804.32,0.0
32,3003.0,1729.96,213.04,1922.0,913.1,1.1,84.92,18.49,0.0,50043.41,12971.34,2524.61
33,3073.0,1714.61,481.85,1998.0,916.83,14.23,89.02,21.02,0.0,48416.73,11550.22,4734.61
34,3113.0,1722.91,766.8,2047.0,906.07,52.77,89.58,14.86,0.0,50050.4,14622.26,6905.32
35,3160.0,1724.2,995.24,2043.0,904.1,99.33,82.71,14.93,0.0,48762.97,9301.79,7611.2
36,3118.0,1733.41,1129.57,2042.0,899.83,129.3,86.76,21.0,0.0,48574.02,9497.29,9536.64
37,3143.0,1723.41,1158.96,2053.0,884.5,134.17,83.94,20.05,0.0,46174.29,17438.72,9916.37
38,3132.0,1646.02,1088.04,2045.0,866.63,118.8,85.06,18.45,0.0,50150.69,8633.14,7954.53
39,3174.0,1678.22,1025.87,2052.0,858.53,86.07,82.72,15.66,0.0,48428.14,10466.68,7742.32
40,3266.0,1707.35,961.85,2124.0,852.1,39.5,88.33,15.68,0.0,46605.84,10578.79,6332.09
41,3428.0,1734.35,828.61,2215.0,835.5,9.77,84.82,19.28,0.0,48766.31,9731.26,4922.88
42,3312.0,1733.26,623.61,2157.0,825.17,0.63,82.97,12.78,0.0,50314.89,12955.81,2300.25
43,3392.0,1698.63,377.63,2014.0,837.93,0.07,85.3,14.2,0.0,45676.43,16522.35,0.0
44,3169.0,1644.09,158.35,1906.0,842.4,0.07,86.34,23.12,0.0,45701.24,11293.15,0.0
45,3206.0,1566.67,45.26,1828.0,852.23,0.1,86.3,16.28,0.0,48018.21,16602.17,0.0
46,3028.0,1562.54,10.65,1730.0,842.1,0.1,89.62,16.65,0.0,49141.48,11501.89,0.0
47,2939.0,1584.67,6.0,1662.0,835.77,0.07,85.89,16.96,0.0,46604.71,15583.0,0.0
48,3078.0,1619.5,5.93,1682.0,843.93,0.07,82.78,15.32,0.0,46718.06,17257.83,0.0
