hour,demandDk1,windDk1,pvDk1,demandDk2,windDk2,pvDk2,demandIF,windIF,pvIF,demandUK,windUK,pvUK
1,2242.0,2422.43,0.0,1463.0,429.95,0.9,84.3,28.39,0.0,49890.51,20797.93,0.0
2,2210.0,2435.23,0.0,1428.0,414.18,0.92,84.44,30.98,0.0,48061.66,14817.11,0.0
3,2271.0,2435.6,0.0,1389.0,402.5,0.95,84.72,31.61,0.0,49937.83,21853.17,0.0
4,2213.0,2421.93,0.0,1351.0,396.22,0.9,86.13,32.87,0.0,48335.1,24144.81,0.0
5,2201.0,2441.0,0.0,1337.0,394.25,0.88,88.75,21.29,0.0,48054.77,16876.35,0.0
6,2218.0,2443.77,0.0,1334.0,405.35,0.9,83.17,22.25,0.0,49312.05,17703.02,0.0
7,2263.0,2493.4,0.0,1371.0,430.35,1.38,84.93,29.88,0.0,47112.8,19602.26,0.0
8,2356.0,2491.8,1.4,1416.0,470.38,13.58,82.88,25.9,0.0,47328.38,16778.56,1064.06
9,2443.0,2470.97,29.0,1488.0,489.4,68.1,82.51,31.51,0.0,45760.13,24303.48,1934.1
10,2496.0,2430.6,117.97,1576.0,491.3,161.12,84.73,23.33,0.0,48952.61,21540.53,2555.06
11,2554.0,2382.93,249.0,1635.0,497.6,249.4,89.62,28.67,0.0,49913.66,17201.01,3526.05
12,2584.0,2374.5,355.73,1682.0,502.92,321.08,82.45,34.13,0.0,47874.7,19820.12,3696.06
13,2657.0,2403.87,405.37,1700.0,489.08,352.38,85.48,20.91,0.0,45962.95,18511.25,4105.84
14,2635.0,2421.23,383.97,1715.0,463.05,348.88,82.02,22.74,0.0,48724.86,16970.96,3846.09
15,2622.0,2446.4,300.67,1738.0,503.9,312.92,83.77,24.93,0.0,49542.58,24555.81,3442.49
16,2560.0,2436.73,155.57,1822.0,549.25,251.78,89.63,24.43,0.0,49397.38,19374.79,3038.12
17,2687.0,2443.2,39.87,1874.0,594.9,175.92,84.43,32.11,0.0,47131.02,15652.39,1909.39
18,2637.0,2467.73,2.7,1839.0,637.88,87.25,88.81,19.64,0.0,47706.88,20586.15,1093.75
19,2505.0,2499.83,0.1,1724.0,666.92,24.6,82.53,27.1,0.0,47937.56,19014.8,0.0
20,2443.0,2532.77,0.1,1653.0,695.08,2.8,83.93,25.09,0.0,49073.11,15460.15,0.0
21,2445.0,2529.63,0.1,1589.0,709.62,0.65,85.11,34.97,0.0,45961.92,14781.29,0.0
22,2377.0,2537.3,0.1,1512.0,715.25,0.65,85.6,28.55,0.0,47494.47,24308.79,0.0
23,2314.0,2583.2,0.1,1453.0,707.78,0.68,83.58,28.6,0.0,49693.25,22599.32,0.0
24,2389.0,2618.5,0.1,1449.0,664.45,0.68,83.43,21.68,0.0,46754.05,13652.59,0.0
25,2379.0,2661.57,0.1,1447.0,576.85,0.66,86.31,28.13,0.0,49160.77,15487.29,0.0
26,2377.0,2683.57,0.1,1422.0,528.41,0.66,82.05,32.47,0.0,49734.75,20672.57,0.0
27,2445.0,2661.67,0.1,1384.0,520.5,0.67,84.98,28.36,0.0,49282.25,17550.38,0.0
28,2466.0,2600.3,0.1,1364.0,493.39,0.68,88.76,25.17,0.0,49920.58,20851.35,0.0
29,2486.0,2531.43,0.1,1429.0,479.34,0.68,88.98,31.61,0.0,50013.98,20198.74,0.0
30,2702.0,2480.1,0.1,1602.0,501.49,0.66,82.19,35.03,0.0,49371.27,22404.85,0.0
31,2870.0,2424.37,0.1,1786.0,545.76,1.37,86.16,25.31,0.0,48255.06,20868.37,0.0
32,3003.0,2415.0,0.9,1922.0,548.07,13.85,85.94,28.55,0.0,46169.67,21926.14,1000.92
33,3073.0,2384.2,20.83,1998.0,532.2,71.12,82.44,25.17,0.0,45908.81,17574.64,1896.81
34,3113.0,2301.17,91.93,2047.0,524.51,167.98,89.05,30.07,0.0,49896.3,19154.15,2843.04
35,3160.0,2267.9,199.83,2043.0,517.8,269.2,82.51,29.0,0.0,47114.44,16175.81,3121.51
36,3118.0,2246.77,290.87,2042.0,534.15,339.58,89.71,24.84,0.0,48578.28,19844.78,3899.82
37,3143.0,2216.83,332.9,2053.0,516.25,366.7,87.13,28.3,0.0,47282.77,18149.26,4255.68
38,3132.0,2197.8,295.27,2045.0,510.38,360.82,87.8,29.21,0.0,48822.35,17260.77,3529.49
39,3174.0,2151.37,211.27,2052.0,518.92,312.92,83.28,24.92,0.0,47732.92,20650.64,3273.25
40,3266.0,2119.9,107.43,2124.0,537.12,244.15,84.53,25.62,0.0,47151.46,18153.47,2786.41
41,3428.0,2100.13,31.17,2215.0,542.65,163.2,84.76,26.42,0.0,48431.92,19184.03,1926.48
42,3312.0,2093.67,3.73,2157.0,529.9,82.15,84.97,28.82,0.0,45757.18,19305.05,1010.03
43,3392.0,2134.7,0.0,2014.0,519.72,24.25,83.37,26.46,0.0,46272.6,21563.97,0.0
44,3169.0,2215.0,0.0,1906.0,524.2,3.2,83.66,28.36,0.0,49588.23,23565.79,0.0
45,3206.0,2275.97,0.0,1828.0,530.6,0.9,85.93,22.7,0.0,47079.21,18506.93,0.0
46,3028.0,2319.6,0.0,1730.0,526.7,0.88,85.58,28.76,0.0,49526.78,19080.8,0.0
47,2939.0,2373.0,0.0,1662.0,514.15,0.92,83.11,28.27,0.0,46558.99,17816.81,0.0
48,3078.0,2396.9,0.0,1682.0,480.65,0.92,82.68,28.35,0.0,50386.56,21147.48,0.0
