hour,demandDk1,windDk1,pvDk1,demandDk2,windDk2,pvDk2,demandIF,windIF,pvIF
1,38818,1,0,38818,1,0,38818,1,0
2,37583,12,0,37583,12,0,37583,12,0
3,37113,13,0,37113,13,0,37113,13,0
4,37464,14,0,37464,14,0,37464,14,0
5,38349,15,0,38349,15,0,38349,15,0
6,41421,13,1,41421,13,1,41421,13,1
7,47556,8,8,47556,8,8,47556,8,8
8,52689,3,18,52689,3,18,52689,3,18
9,56040,3,26,56040,3,26,56040,3,26
10,57682,4,38,57682,4,38,57682,4,38
11,59273,1,52,59273,1,52,59273,1,52
12,61295,15,65,61295,15,65,61295,15,65
13,60456,2,7,60456,2,7,60456,2,7
14,59608,25,72,59608,25,72,59608,25,72
15,58592,22,67,58592,22,67,58592,22,67
16,57497,19,52,57497,19,52,57497,19,52
17,56099,2,35,56099,2,35,56099,2,35
18,55821,21,23,55821,21,23,55821,21,23
19,55352,22,12,55352,22,12,55352,22,12
20,54556,2,6,54556,2,6,54556,2,6
21,53364,19,2,53364,19,2,53364,19,2
22,53088,18,0,53088,18,0,53088,18,0
23,49126,17,0,49126,17,0,49126,17,0
24,44475,16,0,44475,16,0,44475,16,0
25,48796,41,0,48796,41,0,48796,41,0
26,47466,47,0,47466,47,0,47466,47,0
27,47577,53,0,47577,53,0,47577,53,0
28,48293,55,0,48293,55,0,48293,55,0
29,49527,5,0,49527,5,0,49527,5,0
30,51672,43,0,51672,43,0,51672,43,0
31,59458,4,0,59458,4,0,59458,4,0
32,67194,29,0,67194,29,0,67194,29,0
33,69421,2,0,69421,2,0,69421,2,0
34,68805,19,2,68805,19,2,68805,19,2
35,69180,19,8,69180,19,8,69180,19,8
36,69557,17,15,69557,17,15,69557,17,15
37,69332,19,16,69332,19,16,69332,19,16
38,68461,17,12,68461,17,12,68461,17,12
39,67618,13,8,67618,13,8,67618,13,8
40,67588,1,3,67588,1,3,67588,1,3
41,67910,8,0,67910,8,0,67910,8,0
42,72064,12,0,72064,12,0,72064,12,0
43,72204,14,0,72204,14,0,72204,14,0
44,70180,14,0,70180,14,0,70180,14,0
45,66389,12,0,66389,12,0,66389,12,0
46,63899,1,0,63899,1,0,63899,1,0
47,61856,11,0,61856,11,0,61856,11,0
48,56501,11,0,56501,11,0,56501,11,0
